testcase,testcase_id,source_format,target_format,phase,stage,run_idx,is_warmup,used_for_stats,dt_s,repeats,warmup
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,src_to_target,0,True,False,0.9740472999983467,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,src_to_target,1,False,True,1.026012999995146,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,src_to_target,2,False,True,1.0557649999973364,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,src_to_target,3,False,True,1.0414803000167012,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,src_to_target,4,False,True,1.056483099993784,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,rt_src_to_z88,0,True,False,0.8606713999761268,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,rt_src_to_z88,1,False,True,0.8540793000138365,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,rt_src_to_z88,2,False,True,0.8786011000047438,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,rt_src_to_z88,3,False,True,0.9094289999920875,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,rt_src_to_z88,4,False,True,0.820448300044518,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,rt_z88_to_json,0,True,False,0.6067929000128061,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,rt_z88_to_json,1,False,True,0.5867678999784403,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,rt_z88_to_json,2,False,True,0.5942102000117302,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,rt_z88_to_json,3,False,True,0.6232586000114679,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,abaqus,roundtrip,rt_z88_to_json,4,False,True,0.5971460999571718,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,src_to_target,0,True,False,1.2114780000410974,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,src_to_target,1,False,True,1.264934099977836,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,ansys,roundtrip,src_to_target,2,False,True,1.2758315000100993,5,1
